Criteria,Text,Describe,Reco
1.1,"All applicable local and national legislation is known and complied with. Note: In group certification of small farms, group managers shall train members on applicable laws and compliance.","1.1.1 There is demonstrable knowledge of responsibilities under applicable laws; 1.1.2 Applicable laws are being complied with; 1.1.3 Producers must not engage in any act of corruption, extortion or embezzlement, or in any form of bribery - including (but not limited to) promising, offering, giving or accepting any undue inducement, whether monetary or otherwise.","Guidance 1.1.1 - 1.1.2 Producers need access to information to know what is required of them by law. Examples include keeping a register of laws or access to relevant legal advice. Compliance with legal requirements should be verified through: checking publicly available data on compliance, where available; interviews with officials and stakeholders; and field observations.  The National Interpretation of the corresponding country will define the scope of verification of the applicable law that producers need to comply with and provide evidence of compliance during the audit. Guidance 1.1.3 Large producers should have written systems and policies in place to manage bribery risks in their organizations. These systems should: a. Identify and monitor those parts of the company that present a high risk of incurring bribery. b. Train relevant managers and employees on the policies and procedures. The system can also include: c. Records of relevant gifts (to and from third parties) in a gift register, in accordance with company policy. d. Investigations of any incidents of suspected bribery within the organization. e. Sanctions for bribery and attempted bribery. The definition of large producers/large producers will be established at national level. In countries where legislation related to the subject already exists, compliance with these laws will be considered sufficient for compliance with this indicator."
1.2,"Land use rights are clearly defined and demonstrable. Note: The land use rights of traditional land users are considered in Criterion 3.2, which should be cross-referenced with this Criterion.","1.2.1 Documentary evidence of land use rights exists (e.g. title deed, lease agreement, court order, etc.).",
1.3,"There is continuous improvement against the requirements of this standard. Note: In group certification, continuous improvement can be recorded and monitored for the group as a whole.","1.3.1 From the assessment required in 4.1.1, the social, environmental and agricultural aspects of the operation (on and off farm) that need to be improved have been identified. Note: Producers are free to choose the most relevant continuous improvement indicators in each context to prove that there have been continuous improvements in relation to the requirements of this standard; e.g. soil carbon content, use of agrochemicals, riparian forest status, etc. The year used for the baseline is the year of the first certification assessment. 1.3.3 Monitoring results are analyzed and, where necessary, appropriate action is planned and carried out to ensure continuous improvement.","Guidance 1.3.1 - 1.3.2 - 1.3.3 It is recognized that sometimes specific continuous improvement indicators may not show improvement due to circumstances beyond the control of the certificate holder.  The producer will monitor and review, at least annually, 1 indicator per pillar of the RTRS Data Collection Sheet to ensure continuous improvement.  The use of the RTRS Data Collection Sheet serves only as guidance for producers and its use is optional. Guidance 1.3.3 RTRS Standard for Responsible Soy Production V4.0 Monitoring is carried out internally by the producer or group manager. An external auditor analyzes the results of the process monitoring and verifies the improvements made."
2.1,"Child labor, forced labor, discrimination and harassment do not occur and are not supported. ","2.1.1 No form of forced, compulsory, bonded, trafficked or involuntary labor is used at any stage of production. 2.1.2 No worker is required to leave their identity documents with other people and no part of their wages, benefits or belongings is retained by the owner or third parties, unless required by law. 2.1.3 Spouses and children of hired workers are not obliged to work on the farm. 2.1.4 Children and minors under the age of 18 must not carry out dangerous work or any work that could endanger their physical integrity or their mental or moral well-being. 2.1.5 Children under the age of 15 (or older, depending on national legislation) must not carry out productive work. Note: in the case of family farming, please refer to the Guidance. 2.1.6. All children of direct employees and residents of the farm must have access to school education. 2.1.7 There is a policy in place that illustrates the farms commitment not to engage in, support or tolerate any form of discrimination. 2.1.8 For the same work, all workers receive equal pay, equal access to training and benefits and equal opportunities for promotion and filling all available vacancies. 2.1.9 Workers are not subject to corporal punishment, mental or physical oppression or coercion, verbal or physical abuse, sexual harassment or any other type of intimidation. 2.1.10 Workers have a safe and effective channel to report abuses and ensure that their rights are respected","Guideline 2.1 Proof of relevant personal data on workers (e.g. gender and date of birth) should be verified. The data collected should be appropriate to the location and legislation in force (for example, in some countries it may not be appropriate - or even legal - to ask employees about their religion). Guideline 2.1.1 Employees should be free to leave the workplace after working hours; they should also be free to terminate the employment relationship, provided that proper notice is given. Reference: ILO Convention 29 on Forced Labor and Convention 105 on the Abolition of Forced Labor. Guideline 2.1.3 Farms need to provide an adequate structure for children and spouses to live on the farm and carry out their personal activities, ensuring a safe distance from potentially dangerous operational areas. Guideline 2.1.4 - 2.1.5 Farms need to provide an adequate structure for children and spouses to live on the farm and carry out their personal activities, ensuring a safe distance from potentially hazardous operational areas. Reference: ILO Convention 138 on Minimum Age and 182 on the Worst Forms of Child Labor. 2.1.5 Participation in certain agricultural activities is not always considered child labor. Age-appropriate tasks - which are lower risk and do not interfere with childrens study and leisure time - can be a normal part of growing up in rural environments. Especially in the context of family farming, livestock and small-scale fish farming, the limited participation of children in non-hazardous activities can be positive, as it contributes to the intergenerational transfer of technical and social skills and to childrens food security. Young people involved in some aspects of agricultural work tend to display higher levels of self-confidence, self-esteem and competence at work. Therefore, when considering working hours and conditions, age, activities and the dangers involved, it is important to clarify the distinction between light tasks - which do not cause harm to children - and child labor, which interferes with compulsory education and causes damage to health and personal development.Guideline 2.1.6 Farms ensure that children have adequate transportation and school supplies available. Guideline 2.1.6-2.1.7 Discrimination includes, but is not limited to: Distinction, exclusion or preference that invalidates or impairs equal opportunity or treatment in employment, whether in the hiring process, compensation, access to training, promotion, discharge, lateral transfer or retirement, including: a) Ethnicity, color, sex, sexual orientation, gender, caste, religion, political opinion, national extraction or social origin; b) Nationality or migratory status; c) Marital status or social class; d) Medical condition (including seropositivity or disability); e) Family status, including pregnant women and parents with children or any other condition protected by current legislation; f) Being a member or organizer of a workers organization; g) Having filed complaints through the complaints and grievances mechanisms; h) Gender inequality in remuneration* and unequal opportunities between genders in the appointment of management positions; i) Political, religious, social, sexual or cultural opinions and convictions, views or affiliations of workers. * Divergence in salary is not considered discriminatory when the company has a policy, of which employees are fully aware, which specifies different pay scales for different levels of qualification, experience, etc. Reference: ILO Convention 100 on Equal Remuneration and ILO Convention 111 on Discrimination. Guideline 2.1.10 There are open and permanent channels of communication between employers and employees.  "
2.2,Workers - directly and indirectly employed on the farm - and tenants are properly informed and trained for their tasks and aware of their rights and duties.,"The term workers indirectly employed on the farm refers here to employees of service providers who perform services directly related to the production process. The scope of services directly related to the production process will be defined in national interpretations. In countries that do not require formal employment contracts between the worker and the employer, other proof of the employment relationship must be provided (e.g. the employees registration with the social security/employment agency).Guideline 2.2.1 In the case of illiterate workers, the guidelines of local rules should be followed to convey the content of the contract and ensure full understanding of all clauses. Guideline 2.2.3 If there are no regulations on the frequency of health and safety training sessions, such training should be carried out at least once a year. Here are some possible situations in which the producer should offer training (if relevant):Handling, storage and disposal of pesticides; Occupational health and safety in the vicinity of biodigesters, manure pits, effluent lagoons Fertilizer choice, purchase, application rate and placement (based on soil and crop characteristics) Risks of soil loss and degradation Stopping deforestation, loss of biodiversity and ecosystem services Energy and water scarcity (energy efficiency, sustainable irrigation systems, etc.).) Waste minimization, segregation, storage and disposal on the farm.  Other sustainable practices Workers fundamental duties and rights A training plan is created to ensure that all training, including that required by law, is up to date and that all farmers and relevant workers receive the training within 2 years of the first assessment. Training records are kept with gender-disaggregated information on trainees.","2.2.1 Workers (including temporary workers), tenants, contractors and subcontractors have a written agreement, in a language they can understand and in accordance with local laws. Note: The requirements of indicator 2.2.1 are recommended in all cases. However, on small farms with high illiteracy rates, group managers can implement alternative mechanisms to verify the validity of employment relationships and make them known to everyone. 2.2.2 Labor laws, union agreements or direct employment contracts, with details of payments and conditions of employment (e.g. working hours, deductions, overtime, sickness, vacations, maternity leave, reasons for dismissal, notice period, etc.) are available in language understood by workers or have been carefully explained to them by a manager or supervisor. 2.2.3 Adequate and appropriate training and understandable instructions on fundamental labor rights, health and safety - as well as any other necessary supervision or guidance - are provided to all workers. Note on 2.2.3: In the case of Group Certification of small farmers, managers may organize periodic training sessions for group workers."
2.3 ,A safe and healthy workplace is guaranteed to all workers.,"2.3.1 Producers and their employees demonstrate knowledge and understanding of health and safety issues. 2.3.2 Relevant health and safety risks are identified, procedures to address these issues are developed by employers and these are monitored. 2.3.3 Potentially hazardous tasks are performed only by capable and competent people without specific health problems.2.3.4 Adequate and appropriate protective clothing and equipment is provided and used in all potentially hazardous operations, such as the handling and application of pesticides and manual or mechanized operations. 2.3.5 Mechanisms are in place to verify workers compliance with safety requirements. 2.3.6 Procedures are in place for accidents and emergencies; instructions are clearly understood by all workers. 2.3.7 In the event of an accident or illness, first aid is accessible and medical assistance is provided without delay. 2.3.8 Producers ensure regular maintenance of machinery and equipment to ensure their safe operation. ","Guideline 2.3 References: ILO Convention 155 on Safety and Health of Workers; ILO Convention 184 on Safety and Health in Agriculture; ILO Recommendation 192 on Safety and Health in Agriculture. The means of verification used must be appropriate to the size and scale of the operation. Ex: (2.3.1) There must be a documented health and safety policy in operations with permanent employees. On small farms, this can be demonstrated through oral explanations. Guideline 2.3.2 Workers or their representatives (e.g. trade unions and/or womens groups) should be involved in identifying safety risks and defining priority actions. Guideline 2.3.3 If not already required by law, an occupational health and safety risk assessment should be carried out to identify which types of work can be carried out by each category of workers, as well as their respective risks.  Guideline 2.3.5 There is a system of warnings, followed by sanctions permitted by law, for workers who fail to comply with safety requirements.  Guideline 2.3.6 Procedures in the event of accidents and emergencies should include immediate measures to stop all operations in places where there is a serious and imminent danger to health and safety - and, if necessary, evacuation of the site. Workers are trained in this area by a qualified professional.  Guideline 2.3.8 Maintenance must follow the technical guidelines provided by the manufacturers and evidence - such as maintenance plans or service reports - must be stored.  "
2.4,All workers enjoy freedom of association and the right to collective bargaining.,"2.4.1 All workers and tenants enjoy the right to establish and/or join an organization of their choice. 2.4.2 The effective functioning of these organizations is not impeded. Representatives are not subject to discrimination and have access, whenever requested, to their members in the workplace. 2.4.3 All workers have the right to collective bargaining. 2.4.4 Workers are not prevented from interacting with external parties outside of working hours (e.g. NGOs, trade unions, labor inspectors, agricultural extension workers, certification bodies).",Guideline 2.4.1 Reference: ILO Convention 87 on Freedom of Association and Protection of the Right to Organize.  Guideline 2.4.3 Reference: ILO Convention 98 on the Right to Organize and Collective Bargaining.  Workers indirectly employed on the farm' refers here to employees of service providers who perform services directly related to the production process. The scope of 'services directly related to the production process' will be defined in national interpretations.
2.5,"All workers on the farm, employed directly or indirectly, have remuneration at least equal to the amount provided for in national legislation and sectoral agreements.","2.5.1 Workers gross salaries are in accordance with national legislation and sectoral agreements and are paid at least monthly. 2.5.2 There are no salary deductions of a disciplinary nature, unless this is permitted by legislation. Remuneration and benefits are detailed and made clear to workers; workers are paid in a way that suits them. Wages paid are recorded by the employer. 2.5.3 Normal working hours do not exceed 48 hours per week. Overtime does not exceed 12 hours per week. 2.5.4 If additional overtime is required, the following conditions must be met: a) It only takes place during limited periods of time (e.g. peak harvest, planting season). b) If there is a union or representative organization, the conditions of overtime are negotiated and agreed with the organization. c) If there is no union or agreement with a representative organization, the average working hours over the two-month period following the start of the exceptional period must not exceed 60 hours per week. 2.5.5 The hours worked by employees are recorded by the employer. In the case of indirect workers, working hours will be recorded where possible. 2.5.6 Overtime work is always voluntary and paid in accordance with the law or industry standards. When overtime is required, workers receive timely notification. Workers are entitled to at least one day off for every six consecutive days of work. 2.5.7 With regard to maternity, salaried workers enjoy all the rights and protections provided for in national practices and laws. Workers on maternity leave have the right to return to their jobs under the same terms and conditions as before the leave. They are not subject to any kind of discrimination, loss of position or reduction in salary. 2.5.8 If workers are paid by results, a normal 8-hour working day enables workers (men and women) to receive at least the minimum wage defined nationally or by sector.  2.5.9 All employees receive drinking water on the farm. If employees live on the farm, they also have access to affordable and adequate housing and food, as well as toilets and places to wash their hands. When these services are charged for, the prices are in line with market conditions. Housing is safe and has at least basic sanitation. ",'Workers indirectly employed on the farm' refers here to employees of service providers who perform services directly related to the production process. The scope of 'services directly related to the production process' will be defined in the national interpretations.  Guideline 2.5.2 The criterion applies to permanent and seasonal workers involved in agricultural production.  Guideline 2.5.5-2.5.6 Reference: ILO Convention 1 on Hours of Work.
3.1,"Channels are available for communication and dialogue with the local community (including indigenous peoples) on issues related to the soy farms activities and their impacts. Note: In this way, they will participate effectively and meaningfully in decisions on matters that affect them.","3.1.1 There is documentary evidence of the existence of communication and dialogue channels. The channels enable adequate communication between the producer and the community.  3.1.2 Local communities have been informed of the communication channels, which enable communications to be anonymous (if so desired)","Guideline 3.1 Communication channels for submitting complaints and grievances should use local languages and appropriate means (e.g. the Internet is not an appropriate mechanism for communicating with communities that do not have access to the web). Communication requirements must be adequate for the identification of any disputes with traditional land users, as referred to in Criterion 3.2 In cases where it is demonstrated that people on (or next to) the property are there illegally (e.g. squatters), producers must try to establish communication, but are not obliged to maintain a dialogue. Local communities and other private rights groups can be represented by legitimate representatives in cases of communication or negotiation or in audit situations. When this occurs, the producer or auditor is not exempt from the responsibility to communicate with other members of the community - especially the poor, illiterate, youth, women or indigenous groups. Evidence of compliance with this indicator can be notifications sent to neighbors and adjacent local communities. It is important to include interviews with community members to assess the existence of communication channels and their adequacy. Guideline 3.1.1 Communication should be managed in a way that corresponds to the importance of each issue. Critical issues require systematic communication, while non-critical issues depend on reactive communication. In the case of small farms, documentary evidence is not required - it can be replaced by oral evidence. Evidence of compliance with this indicator can be notifications presented to neighbors and adjacent local communities. Some (non-exhaustive) examples of communication channels: communication of information to third parties, including the contact person on the farm, the telephone number and/or e-mail address, etc.) "
3.2,"In areas with traditional land users, including indigenous peoples, conflicting land uses are avoided or resolved.","3.2.1 In the event of a dispute regarding use rights; a comprehensive, participatory and documented assessment of community rights is carried out. 3.2.2 In cases where traditional land users give up their rights, there is documentary evidence that the affected communities have received compensation and have given free, prior, informed and documented consent. 3.2.3 Producers must respect the rights, customs and cultures of indigenous peoples, under the terms of the United Nations Declaration on the Rights of Indigenous Peoples (2007) and ILO Convention 169 (1989). 3.2.4 Sites of cultural, ecological, economic or religious importance and resources fundamental to meeting the basic needs of all traditional communities, local communities and indigenous peoples (subsistence, health, nutrition, water, etc.) must be clearly identified in conjunction with the groups in question, as well as recognized and protected by farm managers.   ","When applying for certification, producers shall identify local communities and traditional land users. Traditional land users shall provide reasonable proof that they have been exercising the right to use or access the area or the ecosystem services derived from the area for the last ten years, prior to May 2009. Reasonable evidence can be based on specific criteria that are directly relevant to their purposes (for example: valid / up-to-date official / letterhead documents, recognized by employees and employers). In the case of traditional indigenous communities, Articles 14-18 of ILO Convention 169 also apply. Traditional land users can be represented by legitimate representatives for the purposes of communication, negotiation or auditing. When this occurs, the producer or auditor is not exempt from the responsibility to communicate with other members of the community.The community rights assessment should seek to: a) identify the individual and collective rights and uses of local communities and traditional land users; and b) identify the uses of water resources (if any); c) identify the sites and landscape conditions necessary to guarantee the fulfillment of these rights; d) identify the sites/issues where there are conflicts between property rights and traditional land use rights and ecosystem services; e) find a solution to resolve possible conflicts in land use and/or reach an agreement on the compensation proposal. Whenever there are final decisions, the terms of the decision will be respected. In the event of a contentious process, while it is sub judice (in litigation, pending a decision), this will not prevent access to certification, as long as the guidelines determined by the judge are observed. In the absence of such guidelines, traditional land users will be able to continue exercising their rights until the case is resolved."
3.3,"A complaints and grievance mechanism is in place and accessible to the local community (including indigenous peoples), staff, other workers and traditional land users. Note: In group certification, the complaints and grievances mechanism can be administered by the group manager and records of complaints and grievances can be kept for the group as a whole",3.3.1 Documentary evidence on complaints and grievances is received and maintained. 3.3.2 All complaints and grievances received are dealt with appropriately and in a timely manner.,"Guideline 3.3.1 Anonymous complaints will also be dealt with. Guideline 3.3.2 If the producer receives a complaint, they are obliged to send a response within 30 days of receiving the complaint to acknowledge its receipt and/or begin to resolve the issue."
3.4,"Fair employment opportunities and provision of goods and services are offered to the local population, regardless of gender or race.","3.4.1 Employment opportunities are advertised locally. 3.4.2 Whenever possible, there is collaboration with training programs aimed at the local population (including, for example, indigenous peoples). Note: Small farms can participate in training programs, if they exist. In the case of groups, collaboration with training programs can take place at the group level. 3.4.3 Opportunities regarding the provision of goods and services are offered to local communities.  ","Evidence may include records on the proportion of local employees employed on the farm. If it is not possible to apply this indicator, justification should be provided to the auditor.Guidance 3.4.3 Refers to goods and services central to production activities. Evidence includes quotes for services received from local suppliers. "
